review_text,review_date
Facilities are top standard and clean. Chair lifts are fast and maintained well. Staff are friendly and professional.,4 months ago
Stay away,a year ago
Free bus shuttle in the morning and from 1:30 in the afternoon back down :),2 months ago
yeah do big ski jump,9 months ago
Went up on the Chondola sightseeing and had some spectacular views in a beautiful day.,4 months ago
"After skiing in countries such as Japan and Australia, I can say with some certainty there is something odd here at Cadrona. On entering, we followed signs towards the main office, but after being ushered to a lower car park we ended up walking 200 metres in ski gear. The ticket office was hard to find when we finally arrived. Again at lunchtime, we had trouble finding the cafeteria and amenities. No scenic views from the cafe- we were in a black box! Enjoyed my day, a good run and friendly staff but I had to say there's some poor management with the journey to and from facilities. In terms of the facilities, the alpine experience is lost. Better parking and signage systems are needed. Very disorientating. three stars",a month ago
"Great ski field, staff are friendly!",a year ago
"Rental process was a cinch, staff are great, helpful and knowledgeable. Snow was ...snowy !",4 months ago
Fun skiing beautiful snow and a good amount for this time of year. No que!!! Fantastic,a month ago
"Busy, busy, busy and busy. Welcome to Crowdrona. Good slopes though.",3 months ago
We came as a group to do the Karting. What a hoot!!!! Soooo much fun!!!,8 months ago
"Top facilities, helpful team in the rentals and ticketing. We had a brilliant day up there despite the not so brilliant weather. So nice that it was quite quiet, it felt like we had the mountain to ourselves.",a year ago
Only was on the learners area but loved every second. Very helpful staff and good food at the noodle bar,4 months ago
the snow is icy so when you're skiing your legs and skis vibrate and its quite uncomfortable,3 months ago
Best ski field in NZ. Great dining options + facilities. They've handled the covid restrictions brilliantly + should be commended for this as its not an easy task in some parts of a ski resort. Highly recommend.,a year ago
